abandon	bỏ rơi
abate	giảm bớt
abate	giảm bớt
absolve	tha thứ
absorb	hấp thụ
absurd	ngu xuẩn
abundant	phong phú
accrue	tích lũy
acerbic	chua chát
acoustic	âm thanh
adapt	thích nghi
adherent	người ủng hộ
adherent	người ủng hộ
admirable	đáng kính ngưỡng
admonish	khiển trách
adore	yêu thích
adore	yêu thích
adorn	trang trí
adorn	trang trí
adroit	khéo léo
adulate	tán thưởng
adventure	phiêu lưu
adversary	đối thủ
adverse	bất lợi
adversity	nghịch cảnh
agile	linh hoạt
agitate	làm kích động
agony	nỗi đau
agree	đồng ý
air	không khí
albeit	tuy nhiên
alibi	chứng cớ
alike	giống nhau
alive	sống
allege	khẳng định
allege	cáo buộc
alleviate	làm nhẹ bớt
allocate	phân bổ
allure	quyến rũ
altitude	độ cao
ambiance	không khí
ambition	khao khát
amend	sửa đổi
amiable	thân thiện
analyze	phân tích
anatomy	cấu trúc
anecdote	chuyện vặt
animate	làm sống động
anxious	lo lắng
apex	đỉnh điểm
appeal	hấp dẫn
applaud	tán thưởng
appraise	đánh giá
apprehend	hiểu rõ
apricot	mơ hồng
arcade	quán game
arise	nảy lên
arrive	đến
artistic	nghệ thuật
ascent	sự leo lên
ascribe	gán cho
aspiration	khao khát
assemble	tụ tập
assert	khẳng định
assure	đảm bảo
astonish	làm kinh ngạc
astonish	làm kinh ngạc
asunder	tan ra
asylum	tị nạn
augment	tăng cường
avenue	đại lộ
avert	ngăn chặn
avid	hăng hái
baby	em bé
bake	nướng
balance	cân bằng
bald	đầu trọc
ball	bóng
banana	quả chuối
banana	quả chuối
banner	biểu ngữ
battle	trận đánh
beauty	vẻ đẹp
begin	bắt đầu
believe	tin tưởng
benefit	lợi ích
benevolent	lòng nhân ái
berry	quả mâm xôi
better	tốt hơn
beyond	ở xa
bike	xe đạp
billion	tỷ
biology	sinh học
bird	chim
birthday	ngày sinh nhật
bitter	đắng
black	đen
blanket	chăn
blessing	phúc lành
bliss	niềm hạnh phúc
block	khối
blue	xanh dương
board	bảng
bold	táo bạo
book	sách
border	biên giới
boring	nhàm chán
borrow	mượn
bother	làm phiền
bouquet	bó hoa
bravery	lòng dũng cảm
breakup	chia tay
breath	hơi thở
bright	sáng
bring	mang lại
brother	anh em
bubble	bong bóng
bucket	xô
buddy	bạn bè
build	xây dựng
bullet	đạn
burn	đốt cháy
butterfly	bướm
button	nút
buy	mua
buzz	rì rào
bypass	vượt qua
byte	byte
cake	bánh
calculate	tính toán
calendar	lịch
camera	máy ảnh
